jogo,time,adversario,tempo,torre,inibidor,barao,dragao,arauto,ama,ouro,lado/status
Jogo 2,NRG,G2,28:29,9,1,1,4,0,20/7/51,57946,VITÓRIA TIME VERMELHO
Jogo 1,KT,LNG,35:30,3,0,0,3,2,9/13/26,58245,DERROTA TIME AZUL
Jogo 1,LNG,KT,35:30,9,3,2,2,0,13/9/32,67373,VITÓRIA TIME VERMELHO
Jogo 2,KT,LNG,32:34,10,2,2,4,2,14/3/29,65080,VITÓRIA TIME AZUL
Jogo 2,LNG,KT,32:34,2,0,0,0,0,3/14/4,51618,DERROTA TIME VERMELHO
Jogo 3,LNG,KT,24:20,8,1,1,1,2,16/4/46,49884,VITÓRIA TIME AZUL
Jogo 3,KT,LNG,24:20,1,0,0,2,0,4/16/8,38126,DERROTA TIME VERMELHO
Jogo 1,DK,GAM,26:25,10,2,1,4,1,10/1/21,52392,VITÓRIA TIME AZUL
Jogo 1,GAM,DK,26:25,1,0,0,0,1,1/10/4,41359,DERROTA TIME VERMELHO
Jogo 2,GAM,DK,25:53,1,0,0,0,1,5/20/11,39854,DERROTA TIME AZUL
Jogo 2,DK,GAM,25:53,9,1,1,4,1,20/5/60,54755,VITÓRIA TIME VERMELHO
Jogo 1,MAD,WB,32:13,5,0,0,3,0,15/19/28,54127,DERROTA TIME AZUL
Jogo 1,WB,MAD,32:13,8,1,1,2,2,19/15/54,60154,VITÓRIA TIME VERMELHO
Jogo 2,MAD,WB,28:58,2,0,0,2,1,5/19/7,45439,DERROTA TIME AZUL
Jogo 2,WB,MAD,28:58,11,2,2,2,1,19/5/51,57916,VITÓRIA TIME VERMELHO
Jogo 1,C9,FNC,40:19,9,2,2,2,2,27/7/55,82088,VITÓRIA TIME AZUL
Jogo 1,FNC,C9,40:19,1,0,1,3,0,7/27/17,69819,DERROTA TIME VERMELHO
Jogo 2,FNC,C9,27:44,9,1,1,3,1,20/10/44,59092,VITÓRIA TIME AZUL
Jogo 2,C9,FNC,27:44,4,0,0,1,1,10/20/15,49888,DERROTA TIME VERMELHO
Jogo 3,C9,FNC,32:20,4,0,0,0,2,17/25/32,58897,DERROTA TIME AZUL
Jogo 3,FNC,C9,32:20,10,2,2,5,0,25/17/67,67402,VITÓRIA TIME VERMELHO
Jogo 1,DK,BDS,24:34,10,2,1,1,2,18/6/40,52046,VITÓRIA TIME AZUL
Jogo 1,BDS,DK,24:34,2,0,0,2,0,6/18/11,39988,DERROTA TIME VERMELHO
Jogo 2,BDS,DK,24:26,2,0,0,0,1,4/8/7,40238,DERROTA TIME AZUL
Jogo 2,DK,BDS,24:26,9,2,1,3,1,8/4/17,47796,VITÓRIA TIME VERMELHO
Jogo 1,TL,GAM,28:29,2,0,0,2,0,8/15/12,45274,DERROTA TIME AZUL
Jogo 1,GAM,TL,28:29,8,1,1,1,2,15/8/38,55601,VITÓRIA TIME VERMELHO
Jogo 2,TL,GAM,25:11,9,1,0,1,1,14/6/19,49326,VITÓRIA TIME AZUL
Jogo 2,GAM,TL,25:11,1,0,1,2,1,6/14/12,42717,DERROTA TIME VERMELHO
Jogo 3,GAM,TL,34:36,11,3,2,4,1,19/4/49,69267,VITÓRIA TIME AZUL
Jogo 3,TL,GAM,34:36,4,0,0,1,1,4/19/7,58445,DERROTA TIME VERMELHO
Jogo 1,KT,WB,38:40,9,1,2,3,2,23/11/56,76480,VITÓRIA TIME AZUL
Jogo 1,WB,KT,38:40,0,0,0,3,0,11/23/27,61919,DERROTA TIME VERMELHO
